huruf,kata,idiom,arti_idiom,contoh_kalimat
a,acung,acungan jempol,pujian,kita harus memberikan acungan jempol untuk kejujurannya
a,acung,mengacungkan jempol,memuji,kita patut mengacungkan jempol anak itu untuk keberaniannya
a,adu,mengadu domba,mengusahakan adanya perselisihan antara pihak yang satu dengan pihak yang lain untuk kepentingan sendiri,untuk mencapai keinginannya dia tak segan-segan mengadu domba kita
a,adu,beradu kening,berpapasan jalan,"dasar sombog, saat beradu kening pun dia tidak mau menyapa"
a,adu,beradu lengan,berkelahi,saya tidak berani beradu lengan dengan dia
a,adu,mengadu lidah,berbantah; berdebat; bertengkar ,aku tidak mau mengadu lidah dengan ayahku sendiri
a,adu,beradu mata,bertatapan; berpandangan,dia tersenyum mansi ketika beradu mata dengan saya
a,adu,adu mulut,bertengkar dengan suara keras,mereka adu mulut di kelas
a,adu,mengadu nasib,mencoba peruntungan yang lebih baik,jangan coba-coba mengadu nasib ke kota besar jika tidak punya kepandaian
a,adu,beradu pandang,tidak sengaja saling pandang,dia tersenyum ketika beradu pandang denganku
a,adu,mengadu untung,mencoba peruntungan atau kehidupan yang lebih baik,banyak orang desa pergi ke kota mengadu untung
a,akal,berakal bengkok,licik; tidak dapat dipercaya,jangan lekas percaya pada anak yang berakal bengkok
a,akal,akal budi,pikiran yang sehat,tanpa akal budi kemajuan tidak dapat kita capai
a,akal,akal bulus,tipu muslihat yang licin,dengan kita dia tidak akan berani menajalankan akal bulusnya
a,akal,akal kancil,tipu muslihat dan kecerdikan yang luar biasa,"dengan akal kancilnya, dia selalu terlepas dari bahaya"
a,akal,berakal kancil,mempunya kecerdikan yang luar biasa,meskipun dia berakal kancil akhirnya tertangkap juga
a,akal,berakal panjang,selalu dapat mengatasi segala macam kesulitan,anak yang berakal panjang itu tidak mudah dibohongi
a,akal,akal sehat,pikiran yang jernih,dengan akal sehat segala masalah dapat kita selesaikan
a,akal,berakal ubi,kurang cerdas; bodoh,"kalau kamu berakal ubi, apa pun tidak dapat kamu kerjakan"
a,akar,mengakar tunggang,menjadi kukuh kedudukannya di dalam masyarakat atau negara,setelah mengakar tunggang ia mulai menyingkirkan lawan-lawan politiknya
a,akhir,berakhir pekan,beristirahat pada hari Sabtu sore sampai hari Minggu di luar kota,minggu ini kami berakhir pekan di Puncak
a,alam,pengalaman manis,mengalami kejadian yang menyenangkan,banyak pengalaman manis kami dapati dalam perjalanan itu
a,alam,pengalaman pahit,mengalami kejadian yang tidak menyenangkan,belum apa-apa kami sudah mendapatkan pengalaman pahit di tempat itu
a,alas,alas cakap,imbalan atas jasa yang telah dibuat,sekedar alas cakap kami diberi uang sepuluh ribu rupiah
a,alas,alas kubur,"orang yang memilkul kesalahan (kerugian, dan sebagainya) akibat perbuatan orang lain",dia jadi alas kubur kenakalan anaknya itu
a,alas,alas perut,makanan yang pertama disantap pada waktu pagi,sepotong roti cukup jadi alas perut kami setiap pagi
a,alih,beralih akal,tidak waras pikiran; gila,sejak dia beralih akal anak istrinya menjadi terlantar
a,alih,beralih haluan,berubah pendapat atau paham,dia memang mudah beralih haluan
a,alih,mengalih langkah,mencoba usaha lain,gagal dalam berternak ayam dia segera mengalih langkah
a,aman,aman hati,"tidak khawatir (curiga, waswas dan sebagainya)",aman hatiku kalau dia memang pergi dengan kakaknya
a,ambang,ambang kubur,hampir mati; sudah tua,meskipun sudah di ambang kubur dia masih saja tidak mau bertobat
a,ambang,ambang pintu,hampir terjadi (berlangsung),dia jatuh sakit ketika ebtanas sudah di ambang pintu
a,ambil,mengambil alih,merebut dan menguasai,mereka tidak berhasil mengambil alih kekuasaan dari tangan raja
a,ambil,mengambil angin,berjalan-jalan untuk menghirup udara bersih dan segar,sebelum mandi kami mengambil angin dulu sejenak
a,ambil,mengambil bagian,turut serta,Dia mengambil bagian dalam kerja bakti hari ini
a,ambil,mengambil berat,terlalu mengacuhkan (memperhatikan),jangan kau takut sebab dia sudah tidak mengambil berat lagi akan perkara itu
