frasa,label
abad keemasan,frasa biasa
abu tulang,frasa biasa
adem ayem,frasa biasa
adik bungsu,frasa biasa
adik ipar,frasa biasa
air diam,frasa biasa
air doa,frasa biasa
air emas,frasa biasa
air liur,frasa biasa
air ludah,frasa biasa
air mati,frasa biasa
air suci,frasa biasa
akad nikah,frasa biasa
berat pinggul,frasa idiom
akal budi,frasa idiom
akal bulus,frasa idiom
alam akhirat,frasa biasa
alam arwah,frasa biasa
alam gaib,frasa biasa
alam kabir,frasa biasa
alam pikiran,frasa biasa
alam semesta,frasa biasa
alas baju,frasa biasa
alas kaki,frasa biasa
alur cerita,frasa biasa
alur erat,frasa biasa
anak air,frasa biasa
anak ajaib,frasa biasa
anak alang,frasa biasa
anak angin,frasa biasa
anak angkat,frasa biasa
anak asuh,frasa biasa
anak baju,frasa biasa
anak bangsa,frasa biasa
anak bangsawan,frasa biasa
anak ingusan,frasa idiom
anak bawang,frasa idiom
anak bedil,frasa biasa
anak benua,frasa biasa
anak bilik,frasa biasa
anak buah,frasa idiom
anak bukit,frasa biasa
anak bungsu,frasa biasa
anak busur,frasa biasa
anak cabang,frasa biasa
anak cucu,frasa biasa
anak dagang,frasa biasa
anak dara,frasa biasa
anak didik,frasa biasa
anak domba,frasa biasa
anak emas,frasa idiom
anak gadis,frasa biasa
anak gugur,frasa biasa
anak haram,frasa biasa
anak hitam,frasa biasa
anak kandung,frasa biasa
anak kapal,frasa biasa
anak kunci,frasa biasa
anak mentimun,frasa biasa
anak muda,frasa biasa
anak murid,frasa biasa
anak nakal,frasa biasa
anak negara,frasa biasa
anak orang,frasa biasa
anak panah,frasa biasa
anak orang,frasa biasa
anak panah,frasa biasa
anak pungut,frasa biasa
anak putih,frasa biasa
anak sulung,frasa biasa
anak sungai,frasa biasa
anak tangga,frasa idiom
anak tiri,frasa biasa
anak tunggal,frasa biasa
anak yatim,frasa biasa
angin atas,frasa biasa
angin badai,frasa biasa
angin barat,frasa biasa
angin darat,frasa biasa
angin jatuh,frasa biasa
angin kencang,frasa biasa
angin kepala,frasa biasa
angin kumbang,frasa biasa
angin lalu,frasa idiom
anjing gila,frasa biasa
anjing hutan,frasa biasa
arus air,frasa biasa
asam cuka,frasa biasa
awak kapal,frasa biasa
awan tengah,frasa biasa
awan tinggi,frasa biasa
awan topan,frasa biasa
awan tudung,frasa biasa
awan vulkanis,frasa biasa
awet muda,frasa biasa
ayah angkat,frasa biasa
ayah bunda,frasa biasa
ayah kandung,frasa biasa
ayah mertua,frasa biasa
ayam sayur,frasa idiom
ayah pungut,frasa biasa
ayah tiri,frasa biasa
ayam aduan,frasa biasa
babak belur,frasa biasa
babi hutan,frasa biasa
